Timestamp,What food item did you choose?,How sweet is your food?,How salty is your food?,How spicy is your food?,How sour is your food?,How savoury is your food?,"How starchy is your food? (Carbs, babe)","How ""mealish"" is your food? (Think, something you'd sit down and eat)","How ""dessertey"" is your food?","How ""snackish"" is your food? ",Thank you for filling this out! Do you have anything else you want to say to me here? (Unrelated to the above food data),Want to put your name? I will remember you and appreciate you so much
5/21/2020 12:11,Pear,6,0,0,0,0,0,1,2,6,,
5/21/2020 12:14,Taco,0,5,7,0,7,2,7,0,1,All hail,
5/21/2020 12:26,bread,1,3,2,0,4,7,3,2,5,hi!,beto
5/21/2020 12:26,Sweet potatoes,5,2,0,0,3,6,5,3,4,,
5/21/2020 12:26,cake,7,0,0,0,3,6,2,7,4,no,beto
5/21/2020 12:27,steak,0,5,2,0,7,0,7,0,1,"uh, you’re cool",oteb 
5/21/2020 12:27,apple,5,0,0,4,0,1,1,2,7,are apples carbs?,b e t o
5/21/2020 12:28,Sushi,0,4,1,1,7,4,5,0,4,,viv
5/21/2020 12:29,Lasagna,1,6,1,0,7,5,7,0,3,What's up vivian :^)Now I want to make sour/spicy lasagna,Jef
5/21/2020 12:31,Plum,6,0,0,5,1,1,1,4,7,,Jef
5/21/2020 12:41,Pudding,7,1,0,0,1,1,0,5,6,God is watching,Minecraf 
5/21/2020 12:41,cake,6,0,0,1,1,7,0,7,6,ur cool and i appreciate u,morgo
5/21/2020 12:58,Pie ,5,1,0,2,2,6,6,7,3,"Lol carbs, babe ",Sophia Xu
5/21/2020 13:18,Quesadilla ,0,4,4,1,3,4,5,0,4,,Kat :)
5/21/2020 13:58,Cinnamon rolls,6,1,0,0,1,4,1,5,4,,V
5/21/2020 13:59,Oreos,5,0,0,0,1,4,1,3,7,Good luck!,SSJWesker
5/21/2020 14:13,pineapple cake ,5,1,0,3,1,3,1,7,0,beep boop,angie
5/21/2020 14:15,curry,3,4,6,2,7,5,7,0,2,,ryan :)
5/21/2020 14:29,cake!,7,2,0,0,4,6,2,7,3,i love you babes,olivia :)
5/21/2020 14:45,Pasta,0,2,0,0,3,6,7,0,2,"I love this, glad you showed the neural network to me at UT",Angelo
5/21/2020 14:46,Crunch Bar,6,1,0,0,2,2,0,5,6,,Angelo
5/21/2020 14:47,Leaf,0,0,0,0,2,1,0,0,3,vegan lifestyle baby,Angelo
5/21/2020 14:48,Fried Pickle,2,3,0,2,5,3,2,0,5,,Angelo
5/21/2020 14:49,Mac and Cheese,0,1,0,0,4,6,5,0,2,The little twisty mini mac and cheese is superior to the elbow noodle style,Angelo
5/21/2020 14:54,Sushi,2,4,5,5,2,3,7,2,1,,
5/21/2020 15:08,Cinnamon French Toast,5,1,0,0,0,7,3,4,2,You're epic 🥺✌️,Fiona
5/21/2020 15:30,Banana bread,6,0,0,0,2,7,0,7,4,I don't really understand what you're doing lol but good luck!,
5/21/2020 15:59,donut,7,0,0,0,5,7,2,7,5,,michele!!
5/21/2020 16:32,Borek,0,3,0,0,3,5,1,0,0,,
5/21/2020 18:12,Pancake ,4,2,0,0,6,6,5,5,1,,
5/21/2020 18:36,Rice Crispy Treat,6,1,0,0,0,6,0,4,6,,Ricky
5/21/2020 18:36,Lobster,2,5,1,0,7,1,7,1,2,,
5/21/2020 18:37,potato chips,1,7,2,0,5,6,2,0,7,,Ricky
5/21/2020 20:28,Banana Pudding,6,0,0,1,0,3,1,7,4,You’re awesome,
5/21/2020 21:52,Tiramisu,5,0,0,0,0,7,5,7,2,,
5/22/2020 1:07,Safran risotto,0,5,0,0,7,6,7,0,0,,
5/22/2020 1:43,Mint chocolate chip ice cream,7,2,0,0,0,0,1,7,2,ur kinda cool 😳,
5/22/2020 4:20,beetroot,3,1,0,1,5,2,1,0,1,,
5/22/2020 4:40,Popcorn ,2,6,0,0,6,1,4,4,6,"I just hope you have a good day, really. Take care! :))",“Beanie” should be great! (It’s my nickname! :D)
5/22/2020 6:35,curry,2,5,6,2,6,4,7,0,0,,
5/22/2020 7:17,Burrito (beanwith veggies),1,7,4,1,6,4,7,1,2,,Haley
5/22/2020 19:10,Cornbread,4,3,0,0,4,5,4,0,5,,
5/22/2020 19:11,Cherry pie,7,2,0,4,0,3,0,7,5,,
5/23/2020 14:27,Coffee candy,6,1,0,0,0,1,0,2,5,,
